review_id,business_id,stars,review_text
KMCHvJp3TB-YWuPP7llNtg,x8AQIEjSqsW0z4vRyBetbw,4.0,"We came here on their first weekend of serving dinner and REALLY loved the food and cocktails, everything is so creative, tasty, and decently priced. Only knocked off one star because service was slowish but its a new restaurant and they have kinks to work out like all new restaurants do. I am sure everything will be up to snuff once they get their sea legs."
zeIabJSX22qTrNSjLMZA9w,x8AQIEjSqsW0z4vRyBetbw,4.0,"The restaurant is fancy. It's quite a concept to substitute bread with bun. However, doesn't really fit my taste or expectation. The Cha Sui was cold, and the bun was dry. The portions were little, and the prices were little too high. I believe the owner may missed the real concept about BAO. What they serve are more like steamed bread with all kinds of toppings."
Z7K7ppLHrtEHJ5gsvvfTUQ,x8AQIEjSqsW0z4vRyBetbw,4.0,"Came here from recommendation by good friend. Initially wasn't planning on coming (gonna try good old Carl's drive in someday) but ended up coming here for happy hours. I am a Taiwanese and eat Baos all the time but this time I was impressed with the Bao. 

We tried the Chia Hsu Bao which my wife loved and I had the Wagyu small Bao which I liked but wasn't so impressed. The fries and the chicken wings however was the highlight....wow! The lemon flavor on the wings and th crispy fries really did it for us. I liked my cocktail ...very summer flavor. 

Loved the atmosphere and vibe of the restaurant. Starting to like fusion food more and more now. Let's hope they keep up the standards. Gonna try soft shell next time!"
3v_CA8obx1z1s-2vityG0w,x8AQIEjSqsW0z4vRyBetbw,4.0,"Got the soft shell crab Bao and it was AMAZING!!! Always looking for new places to try and this did not disappoint. Highly recommend the soft shell crab. My boyfriend got the Wagyu Bao, he wasn't a huge fan of it. I thought it was good but the soft shell crab blew it out of the water. The only Real problem I had was I thought the cocktails were a bit pricey. 7$ for a mimosa. Couldn't pay that considering half of that is orange juice. Will def be going back for more food!!!"
mPKqwNy9XFoL7aKqWyWI9w,x8AQIEjSqsW0z4vRyBetbw,4.0,Came here on a Friday night and the place was not too busy my friend and I got a table right away. The server was a very nice gentleman who went over the drink list and menu for us. Gave us some recommendations. We ordered a few apps and shared some Baos. Over all the potsticker dumplings were the best I'd ever had in St. Louis. The baos were very good and not too doughy and thick. I would recommend coming to try something different and service was great the whole time. The staff was  very attentive
9_JHcWcOsw_Gf180Vqw7Qg,x8AQIEjSqsW0z4vRyBetbw,4.0,"The atmosphere was modern yet relaxed. I had the impossible burger. The bread and fusing a were good but I wasn't the biggest fan of the burger. This is likely because I'm a meat eater. The fries were great, skinny and crunchy. The dumplings were good although a bit on the salty side. I will definitely be back to try one of the more traditional baos."
R6gckJP0sKUuUcgYqUYBnQ,x8AQIEjSqsW0z4vRyBetbw,4.0,"Came here on a recommendation from a friend and wow- so glad we came! You jump in line to order and then get seated. Our food came out a little later than expected and mine came out wrong.  My boyfriend had the chicken katsu rice bowl and it was fantastic. Mine eventually came out like 10 or 15 minutes after my boyfriends food and it was much bigger than expected. I got the chicken teriyaki bao and it was phenomenal. Definitely don't need a side with it- it's huge. The bao is perfectly fluffy and so so good. We had the dumpling appetizer and it was also really good- about 8 dumplings crusted into a pancake type thing. I really like the atmosphere here, really modern and hip. Will definitely be back!

Food- 9/10
Price- 7/10
Service- 5/10"
3X4s22pAlpffCbznZnOVFw,x8AQIEjSqsW0z4vRyBetbw,4.0,Very tasty and unique food in a cozy and pretty setting. Our waitress was friendly and informative. We will definitely go back!
XT7oXbbarCplUZm3QEatoA,x8AQIEjSqsW0z4vRyBetbw,4.0,"Stumbled upon this place while a local festival was going on and was just hoping to get a snack and the baos I am familiar with were appetizer sized. 

So glad I stopped by this place because I HIGHLY recommend and will be back!!! This place specializes in baos but their baos are essentially burgers and one can definitely fill a person up. My boyfriend and I shared the char siu bbq gap and it was plenty! But the bao itself is AMAZING!!! The meat was so flavorful and juicy and the way they prepare the bao and the bread is so unique and different. Bao buns are usually soft and fluffy but I loved that they grilled the inside like a hamburger bun and it gave a nice crunch. 

The bao was also paired perfectly with cucumbers and cilantro and it was refreshing yet so flavorful. We also got their Korean street corn and thought these were just OK in my opinion. The addition of the bacon was a unique twist and added a great saltiness. It is also definitely worth because you get a lot of corn! But it was just OK and probably would not get again but would try something else off their menu. 

Overall, great trendy place in a great location. Was so surprised how good their baos were and they had some cute drinks on the menu too that I am dying to try. Excited to visit this place again and try more on their menu!"
AKEtBxUKCy4QzqsG5Lc2xA,x8AQIEjSqsW0z4vRyBetbw,4.0,"We went here for a double date. Place is super nice and has a great atmosphere. Food was good and The BAO wasn't small. We ordered a bunch of different things and shared it family style. We will be back to eat here again. 

Staff was nice and quick. Everything pretty much can out at once and we had to ask the table next to us if we can use apart of their table. I guess that would be my only complaint is how small the place is but that's Clayton..."
